1e-12 0.967172 0.124943 -0.00127045
2e-12 0.967085 0.125247 -0.00253661
3e-12 0.966944 0.125737 -0.00379829
4e-12 0.96675 0.126412 -0.0050553
5e-12 0.966501 0.127272 -0.00630744
6e-12 0.966197 0.128315 -0.00755449
7e-12 0.965839 0.12954 -0.00879624
8e-12 0.965425 0.130945 -0.0100325
9e-12 0.964954 0.132531 -0.0112629
1e-11 0.964427 0.134295 -0.0124874
1.1e-11 0.96384 0.136235 -0.0137057
1.2e-11 0.963195 0.138351 -0.0149175
1.3e-11 0.962489 0.14064 -0.0161226
1.4e-11 0.96172 0.143101 -0.0173207
1.5e-11 0.960889 0.145733 -0.0185116
1.6e-11 0.959993 0.148532 -0.019695
1.7e-11 0.959031 0.151498 -0.0208706
1.8e-11 0.958001 0.154627 -0.0220382
1.9e-11 0.956901 0.157919 -0.0231974
2e-11 0.955731 0.16137 -0.024348
2.1e-11 0.954488 0.164978 -0.0254897
2.2e-11 0.95317 0.168742 -0.0266222
2.3e-11 0.951776 0.172657 -0.0277451
2.4e-11 0.950304 0.176722 -0.0288582
2.5e-11 0.948751 0.180934 -0.0299612
2.6e-11 0.947117 0.18529 -0.0310538
2.7e-11 0.945399 0.189786 -0.0321356
2.8e-11 0.943596 0.194421 -0.0332064
2.9e-11 0.941705 0.199191 -0.0342658
3e-11 0.939725 0.204093 -0.0353135
3.1e-11 0.937655 0.209123 -0.0363494
3.2e-11 0.935491 0.214279 -0.037373
3.3e-11 0.933233 0.219556 -0.0383841
3.4e-11 0.93088 0.224952 -0.0393825
3.5e-11 0.928428 0.230463 -0.0403678
3.6e-11 0.925878 0.236085 -0.0413399
3.7e-11 0.923227 0.241815 -0.0422986
3.8e-11 0.920474 0.247649 -0.0432435
3.9e-11 0.917617 0.253583 -0.0441747
4e-11 0.914656 0.259613 -0.0450918
4.1e-11 0.911588 0.265737 -0.0459947
4.2e-11 0.908413 0.271949 -0.0468834
4.3e-11 0.90513 0.278247 -0.0477578
4.4e-11 0.901738 0.284626 -0.0486177
4.5e-11 0.898236 0.291083 -0.0494631
4.6e-11 0.894622 0.297613 -0.0502941
4.7e-11 0.890897 0.304213 -0.0511106
4.8e-11 0.887058 0.310879 -0.0519127
4.9e-11 0.883107 0.317607 -0.0527005
5e-11 0.879041 0.324393 -0.0534741
5.1e-11 0.874861 0.331234 -0.0542337
5.2e-11 0.870567 0.338126 -0.0549793
5.3e-11 0.866156 0.345065 -0.0557113
5.4e-11 0.86163 0.352048 -0.0564297
5.5e-11 0.856988 0.35907 -0.0571351
5.6e-11 0.852229 0.366128 -0.0578275
5.7e-11 0.847354 0.373219 -0.0585073
5.8e-11 0.842362 0.38034 -0.059175
5.9e-11 0.837253 0.387485 -0.0598308
6e-11 0.832027 0.394654 -0.0604753
6.1e-11 0.826684 0.401841 -0.0611088
6.2e-11 0.821223 0.409043 -0.0617318
6.3e-11 0.815644 0.416258 -0.0623449
6.4e-11 0.809948 0.423482 -0.0629485
6.5e-11 0.804134 0.430712 -0.0635433
6.6e-11 0.798203 0.437945 -0.0641298
6.7e-11 0.792153 0.445178 -0.0647085
6.8e-11 0.785985 0.452408 -0.0652802
6.9e-11 0.779699 0.459631 -0.0658454
7e-11 0.773294 0.466845 -0.0664048
7.1e-11 0.766771 0.474047 -0.0669591
7.2e-11 0.760128 0.481235 -0.0675089
7.3e-11 0.753367 0.488404 -0.0680551
7.4e-11 0.746486 0.495553 -0.0685983
7.5e-11 0.739486 0.502679 -0.0691392
7.6e-11 0.732365 0.509779 -0.0696787
7.7e-11 0.725123 0.51685 -0.0702175
7.8e-11 0.71776 0.52389 -0.0707565
7.9e-11 0.710275 0.530895 -0.0712963
8e-11 0.702668 0.537864 -0.071838
8.1e-11 0.694938 0.544793 -0.0723822
8.2e-11 0.687083 0.551679 -0.0729299
8.3e-11 0.679104 0.55852 -0.073482
8.4e-11 0.670999 0.565313 -0.0740393
8.5e-11 0.662766 0.572056 -0.0746027
8.6e-11 0.654406 0.578744 -0.0751731
8.7e-11 0.645917 0.585376 -0.0757515
8.8e-11 0.637297 0.591948 -0.0763388
8.9e-11 0.628545 0.598458 -0.076936
9e-11 0.61966 0.604901 -0.0775439
9.1e-11 0.61064 0.611276 -0.0781636
9.2e-11 0.601484 0.617577 -0.078796
9.3e-11 0.59219 0.623803 -0.0794421
9.4e-11 0.582755 0.629949 -0.0801029
9.5e-11 0.573179 0.636012 -0.0807793
9.6e-11 0.56346 0.641988 -0.0814723
9.7e-11 0.553595 0.647873 -0.0821829
9.8e-11 0.543583 0.653662 -0.0829121
9.9e-11 0.533421 0.659352 -0.0836608
1e-10 0.523107 0.664937 -0.08443
1.01e-10 0.51264 0.670414 -0.0852206
1.02e-10 0.502017 0.675777 -0.0860335
1.03e-10 0.491236 0.68102 -0.0868696
1.04e-10 0.480295 0.68614 -0.0877297
1.05e-10 0.469192 0.691129 -0.0886147
1.06e-10 0.457925 0.695983 -0.0895253
1.07e-10 0.446493 0.700695 -0.0904622
1.08e-10 0.434892 0.705258 -0.0914261
1.09e-10 0.423122 0.709667 -0.0924175
1.1e-10 0.411181 0.713914 -0.093437
1.11e-10 0.399067 0.717993 -0.0944849
1.12e-10 0.386779 0.721895 -0.0955616
1.13e-10 0.374317 0.725614 -0.0966672
1.14e-10 0.361679 0.729142 -0.0978019
1.15e-10 0.348864 0.73247 -0.0989655
1.16e-10 0.335874 0.735591 -0.100158
1.17e-10 0.322706 0.738497 -0.101379
1.18e-10 0.309363 0.741179 -0.102628
